Service;Unit;Contact;Audience;Phase;URL;Latitude;Longitude;Office;Description;Description_EN;Description_DE;Description_IT
SCITAS File Systems - /transfer;SCITAS;support@epfl.ch;Researchers;Use & Store;https://scitas-doc.epfl.ch/storage/transfer_fs/;46.519949;6.566748;ME B2 94.4;Espace dédié au transfert de données. Il permet de déplacer des fichiers entre systèmes internes et externes. Il est utilisé pour faciliter les échanges de données volumineuses.;Dedicated data transfer space. It enables movement of files between internal and external systems. It is used to facilitate exchange of large datasets.;Speicherplatz für den Datentransfer. Er ermöglicht die Übertragung von Dateien zwischen internen und externen Systemen. Er wird genutzt, um den Austausch großer Datenmengen zu erleichtern.;Spazio dedicato al trasferimento dei dati. Consente di spostare file tra sistemi interni ed esterni. Viene utilizzato per facilitare lo scambio di dati di grandi dimensioni.
SCITAS File Systems - /work;SCITAS;support@epfl.ch;Researchers;Use & Store;https://scitas-doc.epfl.ch/storage/work_fs/;46.519949;6.566748;ME B2 94.4;Espace de stockage partagé pour projets collaboratifs. Il permet d’organiser et partager des données entre membres d’un projet. Il est utilisé pour centraliser les données de travail communes.;Shared storage space for collaborative projects. It enables organization and sharing of data among project members. It is used to centralize shared working data.;Gemeinsamer Speicherplatz für Kooperationsprojekte. Er ermöglicht die Organisation und den Austausch von Daten zwischen Projektmitgliedern. Er wird zur Zentralisierung gemeinsamer Arbeitsdaten genutzt.;Spazio di archiviazione condiviso per progetti collaborativi. Permette di organizzare e condividere dati tra i membri di un progetto. Viene utilizzato per centralizzare i dati di lavoro comuni.
SLims;SV-IT;helpdesk.sv@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/sv/it/374-2/applications/eln-lims/;46.520704;6.563421;AAB 1 94.1;Système de gestion de laboratoire (LIMS). Il permet de suivre les échantillons et les données associées tout au long des processus expérimentaux. Il est utilisé pour assurer la traçabilité et l’organisation des activités de laboratoire.;Laboratory Information Management System (LIMS). It enables tracking of samples and associated data throughout experimental processes. It is used to ensure traceability and organization of laboratory activities.;Laborinformations- und Managementsystem (LIMS). Es ermöglicht die Nachverfolgung von Proben und zugehörigen Daten während des gesamten experimentellen Ablaufs. Es wird zur Gewährleistung der Rückverfolgbarkeit und Organisation von Laboraktivitäten genutzt.;Sistema di gestione di laboratorio (LIMS). Permette di tracciare i campioni e i dati associati durante l’intero processus sperimentale. Viene utilizzato per garantire la tracciabilità e l’organizzazione delle attività di laboratorio.
Solidipes;LSMS;guillaume.anciaux@epfl.ch;Researchers;Publication & Sharing;https://gitlab.com/solidipes/solidipes;46.52119696;6.566791263;GC A2 494;Outil de gestion et de diffusion de données scientifiques. Il permet de structurer et documenter des jeux de données. Il est utilisé pour faciliter leur publication et leur réutilisation.;Scientific data management and dissemination tool. It enables structuring and documentation of datasets. It is used to facilitate publication and reuse.;Tool zur Verwaltung und Verbreitung wissenschaftlicher Daten. Es ermöglicht die Strukturierung und Dokumentation von Datensätzen. Es wird eingesetzt, um deren Veröffentlichung und Wiederverwendung zu erleichtern.;Strumento di gestione e diffusione dei dati scientifici. Permette di strutturare e documentare set di dati. Viene utilizzato per facilitarne la pubblicazione e il riutilizzo.
Statistical Consulting Service;MATH-GE;stat.consulting@epfl.ch;Researchers;Processing & Analysis;https://www.epfl.ch/schools/sb/research/math/statistical-consulting/;46.52007086;6.56764327;MA A1 417;Service de conseil en statistique. Il permet d’accompagner la conception d’analyses et l’interprétation des résultats. Il est utilisé pour renforcer la rigueur méthodologique des projets.;Statistical consulting service. It supports the design of analyses and interpretation of results. It is used to strengthen the methodological rigor of projects.;Statistikberatungsdienst. Er unterstützt die Konzeption von Analysen und die Interpretation der Ergebnisse. Er wird eingesetzt, um die methodische Stringenz der Projekte zu stärken.;Servizio di consulenza statistica. Permette di supportare la progettazione delle analisi e l’interpretazione dei risultati. Viene utilizzato per rafforzare il rigore metodologico dei progetti.
Stem Cell and Organoid Laboratory;SCOL;xavier.warot@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/cpg/center-of-phenogenomics/organoid-laboratory-scol/;46.51995524;6.562453639;SV 1840;Laboratoire spécialisé dans les cellules souches et organoïdes. Il permet de développer et étudier des modèles biologiques complexes. Il est utilisé pour des recherches avancées en biologie cellulaire.;Laboratory specialized in stem cells and organoids. It enables development and study of complex biological models. It is used for advanced research in cell biology.;Labor, das auf Stammzellen und Organoide spezialisiert ist. Es ermöglicht die Entwicklung und Untersuchung komplexer biologischer Modelle. Es wird für fortgeschrittene Forschungen in der Zellbiologie genutzt.;Laboratorio specializzato in cellule staminali e organoidi. Permette di sviluppare e studiare modelli biologici complessi. Viene utilizzato per ricerche avanzate in biologia cellulare.
Stockage Objet-S3;DSI;support@epfl.ch;Researchers;Archiving;https://support.epfl.ch/epfl?id=epfl_kb_article_view&sys_kb_id=e8d10bf997fc7150e55e370f2153af5a;46.52014;6.567684;MA A0 388;Service de stockage objet compatible S3. Il permet de stocker de grandes quantités de données sous forme d’objets accessibles via API. Il est utilisé pour des applications nécessitant scalabilité et flexibilité.;S3-compatible object storage service. It enables storage of large quantities of data as objects accessible through APIs. It is used for applications requiring scalability and flexibility.;S3-kompatibler Objektspeicherdienst. Er ermöglicht die Speicherung großer Datenmengen in Form von Objekten, auf die über eine API zugegriffen werden kann. Er wird für Anwendungen eingesetzt, die Skalierbarkeit und Flexibilität erfordern.;Servizio di archiviazione a oggetti compatibile con S3. Consente di archiviare grandi quantità di dati sotto forma di oggetti accessibili tramite API. Viene utilizzato per applicazioni che richiedono scalabilità e flessibilità.
Stockage SAN;DSI;support@epfl.ch;Researchers;Use & Store;https://support.epfl.ch/epfl?id=epfl_service_status&service=c3c363ecdb34c700ef64731b8c96194d;46.52014;6.567684;MA A0 388;Solution de stockage réseau haute performance. Elle permet d’accéder rapidement à des données critiques. Elle est utilisée pour des applications nécessitant des performances élevées.;High-performance network storage solution. It enables rapid access to critical data. It is used for applications requiring high performance.;Hochleistungsfähige Netzwerkspeicherlösung. Sie ermöglicht den schnellen Zugriff auf kritische Daten. Sie wird für Anwendungen eingesetzt, die eine hohe Leistung erfordern.;Soluzione di archiviazione di rete ad alte prestazioni. Consente di accedere rapidamente a dati critici. Viene utilizzata per applicazioni che richiedono prestazioni elevate.
Support from Center for Digital Trust;C4DT;c4dt@epfl.ch;Researchers;All;https://c4dt.epfl.ch/;46.51827888;6.562015083;BC 047;Service de support en cybersécurité et confiance numérique. Il permet d’obtenir des conseils sur la gestion des risques et la protection des données. Il est utilisé pour intégrer des bonnes pratiques de sécurité dans les projets.;Cybersecurity and digital trust support service. It provides guidance on risk management and data protection. It is used to integrate security best practices into projects.;Supportdienst für Cybersicherheit und digitales Vertrauen. Er bietet Beratung zu Risikomanagement und Datenschutz. Er wird eingesetzt, um bewährte Sicherheitspraktiken in Projekte zu integrieren.;Servizio di supporto in materia di sicurezza informatica e fiducia digitale. Fornisce consulenza sulla gestione dei rischi e sulla protezione dei dati. Viene utilizzato per integrare le buone pratiche di sicurezza nei progetti.
SV Research Data Manager;SV-IT;helpdesk.sv@epfl.ch;Researchers;All;https://sv-it.epfl.ch;46.520704;6.563421;AAB 1 94.1;Service de support en gestion des données pour la faculté SV. Il permet d’accompagner l’organisation et la documentation des données. Il est utilisé pour améliorer les pratiques de gestion des données de recherche.;Data management support service for the SV faculty. It supports organization and documentation of data. It is used to improve research data management practices.;Supportdienst für das Datenmanagement der SV-Fakultät. Er unterstützt die Organisation und Dokumentation von Daten. Er wird eingesetzt, um die Praktiken des Forschungsdatenmanagements zu verbessern.;Servizio di supporto alla gestione dei dati per la facoltà SV. Fornisce assistenza nell'organizzazione e nella documentazione dei dati. Viene utilizzato per migliorare le pratiche di gestione dei dati di ricerca.
SV-Open;SV-IT;helpdesk.sv@epfl.ch;Researchers;Use & Store;https://sv-open.epfl.ch/;46.520704;6.563421;AAB 1 94.1;Plateforme de stockage et partage de données pour la faculté SV. Elle permet de déposer et rendre accessibles des fichiers. Elle est utilisée pour faciliter la collaboration et le partage de données.;Data storage and sharing platform for the SV faculty. It enables depositing and making files accessible. It is used to facilitate collaboration and data sharing.;Plattform zur Speicherung und gemeinsamen Nutzung von Daten für die Fakultät SV. Sie ermöglicht das Hochladen und Bereitstellen von Dateien. Sie wird eingesetzt, um die Zusammenarbeit und den Datenaustausch zu erleichtern.;Piattaforma di archiviazione e condivisione dei dati per la Facoltà SV. Consente di caricare e rendere accessibili i file. Viene utilizzata per facilitare la collaborazione e la condivisione dei dati.
Swiss Data Custodian;SDSC;contact@datascience.ch;Researchers;Publication & Sharing;https://data-custodian.gitlab.io/custodian/#;46.51881514;6.562325086;INN 218;Outil de gestion et documentation des données. Il permet de structurer les métadonnées et décrire les jeux de données. Il est utilisé pour améliorer la découvrabilité et la réutilisation.;Data management and documentation tool. It enables structuring of metadata and description of datasets. It is used to improve discoverability and reuse.;Tool zur Datenverwaltung und -dokumentation. Es ermöglicht die Strukturierung von Metadaten und die Beschreibung von Datensätzen. Es wird eingesetzt, um die Auffindbarkeit und Wiederverwendbarkeit zu verbessern.;Strumento di gestione e documentazione dei dati. Consente di strutturare i metadati e descrivere i set di dati. Viene utilizzato per migliorare la reperibilità e il riutilizzo.
Switch Filesender;DSI;support@epfl.ch;Researchers;Use & Store;https://filesender.switch.ch/;46.52014;6.567684;MA A0 388;Service de transfert sécurisé de fichiers volumineux. Il permet d’envoyer des données via une plateforme dédiée avec accès temporaire. Il est utilisé pour partager des fichiers avec des collaborateurs externes.;Secure large file transfer service. It enables sending data through a dedicated platform with temporary access. It is used to share files with external collaborators.;Dienst für den sicheren Transfer grosser Dateien. Er ermöglicht das Versenden von Daten über eine spezielle Plattform mit temporärem Zugriff. Er wird genutzt, um Dateien mit externen Mitarbeitern zu teilen.;Servizio di trasferimento sicuro di file di grandi dimensioni. Consente di inviare dati tramite una piattaforma dedicata con accesso temporaneo. Viene utilizzato per condividere file con collaboratori esterni.
SwitchDrive;DSI;support@epfl.ch;Researchers;Use & Store;https://www.switch.ch/fr/drive;46.52014;6.567684;MA A0 388;Service de stockage cloud proposé par SWITCH. Il permet de synchroniser et partager des fichiers en ligne. Il est utilisé pour accéder aux données depuis plusieurs appareils.;Cloud storage service provided by SWITCH. It enables synchronization and sharing of files online. It is used to access data from multiple devices.;Von SWITCH angebotener Cloud-Speicherdienst. Er ermöglicht die Synchronisierung und gemeinsame Nutzung von Dateien online. Er wird genutzt, um von mehreren Geräten aus auf Daten zuzugreifen.;Servizio di archiviazione cloud offerto da SWITCH. Consente di sincronizzare e condividere file online. Viene utilizzato per accedere ai dati da più dispositivi.
Technology Transfer Office;TTO;info.tto@epfl.ch;Researchers;Discover & Reuse;https://www.epfl.ch/research/technology-transfer/fr/;46.51651749;6.562053348;QIJ 1 117.02;Service de valorisation et transfert de technologie. Il permet de protéger les résultats de recherche et de soutenir leur commercialisation. Il est utilisé pour développer des collaborations avec l’industrie.;Technology transfer and valorization service. It enables protection of research results and supports their commercialization. It is used to develop collaborations with industry.;Dienst für die Verwertung und den Technologietransfer. Er ermöglicht den Schutz von Forschungsergebnissen und unterstützt deren Vermarktung. Er wird genutzt, um Kooperationen mit der Industrie aufzubauen.;Servizio di valorizzazione e trasferimento tecnologico. Permette di proteggere i risultati della ricerca e di sostenerne la commercializzazione. Viene utilizzato per sviluppare collaborazioni con l’industria.
Virtual desktop infrastructure (VDI);DSI;support@epfl.ch;Researchers;Processing & Analysis;https://support.epfl.ch/epfl?id=epfl_kb_article_view&sysparm_article=KB0017020;46.52014;6.567684;MA A0 388;Infrastructure de bureaux virtuels accessibles à distance. Elle permet d’utiliser des environnements logiciels sans installation locale. Elle est utilisée pour travailler sur des applications depuis n’importe quel appareil.;Infrastructure of remotely accessible virtual desktops. It enables use of software environments without local installation. It is used to work with applications from any device.;Infrastruktur für virtuell zugängliche Büros. Sie ermöglicht die Nutzung von Softwareumgebungen ohne lokale Installation. Sie wird genutzt, um von jedem Gerät aus an Anwendungen zu arbeiten.;Infrastruttura di uffici virtuali accessibili da remoto. Permette di utilizzare ambienti software senza installazione locale. Viene utilizzata per lavorare su applicazioni da qualsiasi dispositivo.
X-Ray Diffraction and Surface Analytics Facility;ISIC-XRDSAP;pascal.schouwink@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/sb/research/isic/platforms/x-ray-diffraction-and-surface-analytics/;46.51996586;6.572432126;BCH 2111;Plateforme d’analyse par diffraction des rayons X et techniques de surface. Elle permet d’étudier la structure et les propriétés des matériaux. Elle est utilisée pour des analyses avancées en sciences des matériaux.;Platform for X-ray diffraction and surface analysis techniques. It enables study of the structure and properties of materials. It is used for advanced analyses in materials science.;Plattform für Röntgendiffraktionsanalyse und Oberflächenuntersuchungen. Sie ermöglicht die Untersuchung der Struktur und der Eigenschaften von Materialien. Sie wird für fortgeschrittene Analysen in den Materialwissenschaften genutzt.;Piattaforma di analisi mediante diffrazione dei raggi X e tecniche di superficie. Permette di studiare la struttura e le proprietà dei materiali. Viene utilizzata per analisi avanzate nel campo delle scienze dei materiali.
Zenodo EPFL Community;Library;researchdata@epfl.ch;Researchers;Publication & Sharing;https://zenodo.org/communities/epfl/;46.51866692;6.569234569;RLC D1 220;Plateforme de dépôt et partage de publications et données. Elle permet d’archiver des ressources avec attribution de DOI. Elle est utilisée pour diffuser des résultats en accès ouvert.;Platform for depositing and sharing publications and datasets. It enables archiving of resources with DOI assignment. It is used to disseminate results through open access.;Plattform zum Hinterlegen und Teilen von Publikationen und Daten. Sie ermöglicht die Archivierung von Ressourcen mit DOI-Zuweisung. Sie wird genutzt, um Ergebnisse im Open Access zu verbreiten.;Piattaforma di archiviazione e condivisione di pubblicazioni e dati. Permette di archiviare risorse con attribuzione di DOI. Viene utilizzata per diffondere risultati in accesso aperto.
